index,well_id,easting,northing,depth_tvd_m,porosity_pct,bulk_density_gcc,formation_thickness_m,distance_to_usp_km,temp_harrison,temp_res_c,permeability_md,k_log
1559,BLT-01,141577.55,456881.76,1866.1087149165403,9.596552,2.551702,122.37544947053402,2.032828276,77.33843318340878,79.66670862465342,82.0,4.406719247264253
1560,BLT-01,141577.55,456881.76,1866.181546960739,9.548544,2.552451,122.37544947053402,2.032828276,77.34138772021717,79.66670862465342,82.0,4.406719247264253
1561,BLT-01,141577.55,456881.76,1866.2543790049376,9.480533,2.553389,122.37544947053402,2.032828276,77.34434223220047,79.66670862465342,82.0,4.406719247264253
1562,BLT-01,141577.55,456881.76,1866.3272110491368,9.466358,2.553001,122.37544947053402,2.032828276,77.34729671935871,79.66670862465342,82.0,4.406719247264253
1563,BLT-01,141577.55,456881.76,1866.400043093336,9.561452,2.551456,122.37544947053402,2.032828276,77.35025118169186,79.66670862465342,82.0,4.406719247264253
1564,BLT-01,141577.55,456881.76,1866.4728751375349,9.771316,2.549126,122.37544947053402,2.032828276,77.3532056191999,79.66670862465342,82.0,4.406719247264253
1565,BLT-01,141577.55,456881.76,1866.5457071817336,9.915368,2.547943,122.37544947053402,2.032828276,77.35616003188285,79.66670862465342,82.0,4.406719247264253
1566,BLT-01,141577.55,456881.76,1866.6185392259324,9.965529,2.548522,122.37544947053402,2.032828276,77.35911441974069,79.66670862465342,82.0,4.406719247264253
1567,BLT-01,141577.55,456881.76,1866.6913712701316,10.03784,2.54976,122.37544947053402,2.032828276,77.36206878277348,79.66670862465342,82.0,4.406719247264253
1568,BLT-01,141577.55,456881.76,1866.7642033143304,10.14522,2.551114,122.37544947053402,2.032828276,77.36502312098115,79.66670862465342,82.0,4.406719247264253
1569,BLT-01,141577.55,456881.76,1866.8370353585287,10.18696,2.551958,122.37544947053402,2.032828276,77.36797743436371,79.66670862465342,82.0,4.406719247264253
1570,BLT-01,141577.55,456881.76,1866.909867402728,10.26776,2.552371,122.37544947053402,2.032828276,77.37093172292121,79.66670862465342,82.0,4.406719247264253
1571,BLT-01,141577.55,456881.76,1866.9826994469267,10.4023,2.553041,122.37544947053402,2.032828276,77.37388598665362,79.66670862465342,82.0,4.406719247264253
