DEPT,GR,DT,RHOB,DRHO
2149.0004,124.711136,68.497375,,
2148.9004,125.204178,68.88942,,
2148.8004,125.962372,69.250595,,
2148.7004,126.693024,69.514999,,
2148.6004,127.105545,69.685135,,
2148.5004,126.913284,69.810638,,
2148.4004,126.109436,69.942596,,
2148.3004,125.041885,70.067062,,
2148.2004,124.18071,70.204788,,
2148.1004,123.446457,70.376709,,
2148.0004,122.837677,70.422501,,
2147.9004,122.347031,70.250656,,
2147.8004,122.028427,70.028076,,
2147.7004,121.958694,69.808228,,
2147.6004,122.177872,69.576996,,
2147.5004,122.746201,69.355698,,
2147.4004,123.66423,69.21936,,
2147.3004,124.426147,69.218323,,
2147.2004,124.214798,69.247772,,
2147.1004,122.793213,69.312103,,
2147.0004,121.135788,69.451523,,
2146.9004,119.504089,69.59465,,
2146.8004,118.063004,69.632935,,
2146.7004,116.756439,69.442642,,
2146.6004,115.598618,69.009888,,
2146.5004,114.647827,68.377609,,
2146.4004,113.855728,67.674866,,
2146.3004,113.341248,67.105957,,
2146.2004,113.128006,66.950424,,
2146.1004,112.841782,67.292587,,
2146.0004,111.872147,67.72522,,
2145.9004,109.885712,68.15918,,
2145.8003,107.649185,69.024384,,
2145.7003,105.501205,70.871414,,
2145.6003,104.21257,73.632278,,
2145.5003,104.456726,76.508698,,
2145.4003,106.118759,79.283188,,
2145.3003,108.412186,82.032211,,
2145.2003,110.838165,84.701279,,
2145.1003,112.7509,86.833694,,
2145.0003,113.677902,87.967651,,
2144.9003,113.641098,88.087463,,
2144.8003,112.737595,87.344406,,
2144.7003,111.428726,85.786606,,
2144.6003,109.837128,83.50293,,
2144.5003,108.087219,79.971924,,
2144.4003,106.416992,75.913162,,
2144.3003,105.158157,73.084167,,
2144.2003,104.320557,71.069931,,
2144.1003,103.692032,69.442291,,
2144.0003,103.216263,68.607239,,
2143.9003,102.898758,68.786316,,
2143.8003,102.702972,69.554199,,
2143.7003,102.440094,70.297852,,
2143.6003,102.126617,70.762604,,
2143.5003,101.867355,70.990768,,
2143.4003,101.786285,71.130341,,
2143.3003,101.901718,71.180054,,
2143.2003,102.151581,71.119232,,
2143.1003,102.565002,70.956711,,
2143.0003,103.063354,70.773117,,
2142.9003,103.591019,70.645599,,
2142.8003,103.403625,70.625244,,
2142.7003,102.731262,70.534164,,
2142.6003,101.992004,70.350616,,
2142.5003,101.853516,70.368484,,
2142.4003,102.227768,70.636749,,
2142.3003,102.857605,70.998215,,
2142.2003,103.659744,71.29213,,
2142.1003,104.60997,71.438522,,
2142.0003,105.7341,71.487396,,
2141.9003,106.822144,71.654236,,
2141.8003,107.850174,71.720291,,
2141.7003,108.89653,71.508255,,
2141.6003,110.053421,71.482635,,
2141.5003,111.326965,71.848328,,
2141.4003,112.654877,72.43013,,
2141.3003,113.828262,72.686798,,
2141.2003,114.799011,72.745926,,
2141.1003,115.545578,73.00914,,
2141.0003,115.977463,73.190628,,
2140.9003,116.07402,73.176544,,
2140.8003,115.631851,73.144821,,
2140.7003,115.2435,73.546936,,
2140.6003,115.282578,74.211243,,
2140.5003,115.902023,74.619965,,
2140.4003,115.803925,74.835571,,
2140.3003,114.40657,74.886032,,
2140.2003,112.562027,74.556091,,
2140.1003,110.871048,73.942322,,
